tipo_pagamento,estado_entrega,dispositivo,periodo_compra,usa_cupom,chargeback_previo,valor_pedido,qtd_itens,tempo_cadastro_dias,compras_anteriores,dist_cobranca_entrega_km,score_risco,idade_cliente,fraude
Cartão,SP,Mobile,Madrugada,Não,Não,78.69,7,1077.0,8,44.05,46.4,76,0.0
Cartão,RJ,Mobile,Tarde,Sim,Não,632.96,6,908.0,4,6.65,38.8,55,0.0
Boleto,SP,Desktop,Madrugada,Não,Não,176.37,5,1699.0,5,8.53,56.5,53,0.0
Cartão,MG,Mobile,Noite,Sim,Não,993.63,2,335.0,3,32.39,49.1,53,1.0
Cartão,BA,,Noite,Não,Não,,4,,7,7.01,53.8,61,0.0
Pix,MG,Mobile,Tarde,Sim,Não,280.96,3,619.0,5,22.27,56.0,33,1.0
Cartão,PE,Desktop,Noite,Sim,Sim,334.95,4,1628.0,7,14.74,33.1,71,0.0
Cartão,SP,Desktop,Tarde,Sim,Não,342.38,1,352.0,5,37.86,80.1,76,1.0
Cartão,RS,Mobile,Tarde,Não,Não,929.4,2,,5,0.32,75.5,20,0.0
Cartão,PR,Desktop,Tarde,Sim,Não,823.45,3,1242.0,6,12.35,,78,0.0
Cartão,PE,Mobile,Noite,Não,Não,123.38,5,958.0,6,12.5,54.9,46,0.0
Cartão,GO,Mobile,Noite,Não,Não,96.84,7,1738.0,6,20.69,29.5,45,0.0
Cartão,RJ,Desktop,Noite,Não,Não,68.4,5,1385.0,7,14.94,19.2,75,0.0
Boleto,MG,Desktop,Tarde,Não,Não,498.59,7,151.0,8,3.74,56.7,47,0.0
Cartão,BA,Mobile,Tarde,Sim,Não,462.4,4,1409.0,4,8.95,74.2,59,1.0
Cartão,BA,Desktop,Tarde,Não,Não,184.36,5,592.0,6,27.12,39.4,18,0.0
Cartão,BA,Mobile,Tarde,Não,Não,326.87,4,1467.0,3,18.98,50.7,28,0.0
Boleto,RJ,Mobile,Manhã,Não,Não,300.36,2,725.0,8,2.16,27.4,25,0.0
Pix,RS,Mobile,Madrugada,Sim,Não,378.34,7,175.0,3,46.68,14.3,43,0.0
Cartão,MG,Mobile,Tarde,Sim,Não,226.46,7,1745.0,6,50.52,35.3,72,0.0
,PR,,Noite,Sim,Não,198.89,4,1044.0,15,3.89,43.9,74,0.0
Cartão,SP,Desktop,Noite,Não,Não,219.05,3,1754.0,6,13.04,64.7,33,0.0
Cartão,RS,Desktop,Tarde,Não,Não,987.63,5,273.0,5,16.19,20.5,44,0.0
Boleto,PE,Mobile,Madrugada,Sim,Não,562.5,5,1497.0,6,29.57,24.3,45,1.0
Cartão,MG,Mobile,Noite,Não,Não,79.56,3,25.0,2,18.25,24.2,77,0.0
Cartão,MG,Mobile,Noite,Não,Não,212.9,1,324.0,6,73.13,71.5,30,1.0
Cartão,PR,Mobile,Manhã,Não,Não,757.9,2,1116.0,3,22.95,77.8,58,0.0
Cartão,RJ,Desktop,Noite,Sim,Não,395.58,4,,8,23.2,83.4,50,1.0
Pix,PE,Desktop,Tarde,Sim,Não,635.82,7,125.0,6,32.23,71.3,34,1.0
Cartão,,Desktop,Noite,Sim,Não,413.04,2,78.0,6,22.91,50.7,50,0.0
Cartão,SP,Mobile,Manhã,Sim,Não,299.0,7,534.0,10,22.51,44.6,65,0.0
Cartão,SP,Desktop,Noite,Sim,Sim,836.75,7,1230.0,8,18.09,59.4,65,1.0
Cartão,PE,Mobile,Noite,Sim,Não,264.24,3,783.0,7,9.19,,38,0.0
Cartão,RS,Mobile,Madrugada,Sim,Não,495.67,2,1349.0,3,12.11,75.5,71,1.0
Boleto,GO,Desktop,Tarde,Não,Não,431.94,1,1423.0,6,31.92,56.3,62,0.0
Pix,MG,Mobile,Noite,Não,Não,58.97,6,372.0,6,51.61,,33,0.0
Boleto,GO,Mobile,Manhã,Não,Não,317.24,6,575.0,8,24.19,33.1,69,1.0
Cartão,PR,,Tarde,Sim,Não,265.38,2,1260.0,8,4.24,48.2,24,0.0
Boleto,PR,Mobile,Manhã,Sim,Não,168.88,4,175.0,5,18.41,42.4,48,1.0
,RJ,Mobile,Tarde,Não,Não,17.98,3,418.0,5,62.16,58.8,61,1.0
Cartão,PR,Desktop,Tarde,Não,Não,409.73,1,605.0,7,8.46,50.6,43,0.0
Cartão,PR,Mobile,Tarde,Não,Não,383.19,1,86.0,8,40.88,47.0,33,0.0
Pix,SP,Mobile,Madrugada,Não,Não,557.36,1,1552.0,5,26.75,92.4,33,0.0
Cartão,RJ,Desktop,Manhã,Não,Não,72.27,5,71.0,3,48.27,61.4,39,0.0
Cartão,PR,Tablet,Tarde,Não,Não,867.47,2,1217.0,3,22.56,56.3,58,1.0
Boleto,PE,Desktop,Manhã,Não,Não,101.52,4,1331.0,5,9.92,32.3,64,0.0
Pix,PR,Mobile,Tarde,Não,Não,682.31,5,1031.0,10,2.53,9.0,34,0.0
Boleto,PR,Desktop,Tarde,Sim,Não,104.2,4,746.0,8,72.44,100.0,49,1.0
Cartão,PR,Mobile,Noite,Não,Não,791.55,4,882.0,7,7.28,40.3,42,0.0
Cartão,SP,,Manhã,Sim,Não,273.92,4,264.0,9,5.32,19.4,41,0.0
,PE,Mobile,Noite,Sim,Não,210.2,4,998.0,8,8.45,42.3,54,0.0
Cartão,PE,Desktop,Tarde,Não,Sim,255.7,2,1281.0,8,41.14,55.8,55,0.0
Cartão,MG,Desktop,Tarde,Não,Não,292.66,2,672.0,3,75.35,54.7,74,
Cartão,GO,Desktop,Manhã,Sim,Não,608.06,4,89.0,8,42.06,17.6,26,0.0
Pix,PE,Desktop,Tarde,Sim,Não,182.66,4,124.0,5,16.04,0.0,21,0.0
Cartão,PE,Desktop,Noite,Sim,Não,751.32,1,941.0,10,23.21,71.1,75,1.0
Cartão,RS,Mobile,Madrugada,Sim,Não,258.61,5,1928.0,3,38.24,76.7,64,1.0
,GO,Mobile,Noite,Sim,Não,1443.19,2,1399.0,7,26.91,73.2,48,1.0
Cartão,PE,Mobile,Tarde,Não,Não,99.68,1,1528.0,7,25.75,42.6,23,0.0
Cartão,RJ,Mobile,Noite,Não,Não,445.47,3,1855.0,5,24.44,,46,0.0
Cartão,MG,Desktop,Noite,Sim,Não,118.15,1,1752.0,2,29.36,60.1,62,0.0
Cartão,RS,Mobile,Manhã,Não,Não,87.28,5,1892.0,4,59.97,48.0,60,0.0
Boleto,GO,Desktop,Tarde,Sim,Não,369.32,3,197.0,9,23.09,55.5,18,0.0
Boleto,SP,Mobile,Manhã,Sim,Sim,279.72,4,1583.0,6,34.79,46.8,26,1.0
Pix,MG,Mobile,Manhã,Não,Não,,1,293.0,8,28.02,27.9,18,0.0
Cartão,RS,Mobile,Tarde,Não,Sim,461.73,5,1664.0,10,30.08,54.5,19,0.0
Cartão,PR,Mobile,Madrugada,Não,Não,139.18,1,472.0,9,10.21,46.6,66,0.0
Pix,PE,Mobile,Tarde,Não,Não,206.09,5,319.0,2,9.71,30.5,22,0.0
Cartão,RJ,Mobile,Tarde,Sim,Sim,114.04,1,1259.0,10,12.94,41.9,47,0.0
Cartão,PR,Mobile,Tarde,Não,Sim,576.1,5,746.0,5,29.64,52.5,53,0.0
Boleto,RJ,,Tarde,Não,Não,214.32,4,507.0,4,35.24,34.2,65,1.0
Cartão,MG,Mobile,Noite,Sim,Não,1104.05,7,105.0,6,32.49,76.0,69,1.0
Cartão,PR,Mobile,Noite,Não,Não,1489.04,5,827.0,7,54.28,19.4,28,1.0
Boleto,SP,Desktop,Tarde,Não,Não,236.38,7,1736.0,7,26.98,4.2,35,0.0
Cartão,PR,Mobile,Manhã,Não,Sim,217.66,6,251.0,2,9.59,53.0,51,1.0
Pix,BA,Mobile,Tarde,Não,Sim,355.37,2,642.0,6,78.75,22.4,65,1.0
Pix,PE,Desktop,Tarde,Não,Não,116.19,7,96.0,4,25.15,54.3,23,0.0
Boleto,SP,Mobile,Manhã,Não,Não,292.49,1,1751.0,11,25.89,62.1,42,0.0
Boleto,RJ,Mobile,Tarde,Não,Não,408.63,7,32.0,3,5.91,33.6,76,0.0
Pix,BA,Mobile,Madrugada,Não,Não,784.17,7,1008.0,5,15.26,67.5,77,1.0
Cartão,PE,,Tarde,Não,Não,235.11,3,1603.0,1,15.78,21.8,42,0.0
Cartão,PR,Desktop,Noite,Não,Não,951.79,3,1010.0,5,44.68,56.6,25,1.0
Pix,PE,Mobile,Noite,Não,Não,234.92,3,1490.0,6,24.65,0.0,75,0.0
Cartão,PE,Desktop,Noite,Sim,Sim,183.67,5,874.0,6,32.21,41.5,42,1.0
Cartão,PR,Desktop,Madrugada,Sim,Não,339.83,6,1906.0,10,7.26,43.0,69,0.0
Pix,PR,Mobile,Manhã,Sim,Não,418.52,3,483.0,7,13.01,50.1,36,0.0
Pix,PR,Desktop,Manhã,Sim,Não,986.7,5,604.0,5,62.07,49.3,64,1.0
Cartão,RS,Tablet,Tarde,Sim,Não,816.92,7,468.0,5,30.16,86.8,79,1.0
Cartão,GO,Desktop,Madrugada,Não,Não,132.27,3,918.0,5,11.43,75.4,63,0.0
Cartão,GO,Desktop,Noite,Sim,Não,239.36,3,641.0,9,14.27,20.6,78,0.0
Cartão,BA,Mobile,Madrugada,Não,Não,863.4,6,426.0,5,26.2,53.5,50,0.0
Cartão,GO,Mobile,Tarde,Não,Não,900.11,4,1992.0,5,12.02,31.8,55,0.0
Cartão,SP,Mobile,Noite,Sim,Não,384.2,4,1672.0,5,46.32,73.7,71,0.0
Pix,RS,Desktop,Noite,Sim,Não,972.11,4,980.0,3,12.88,54.2,67,1.0
Cartão,GO,Mobile,Tarde,Não,Não,,1,1297.0,5,39.38,41.9,44,1.0
Cartão,BA,Desktop,Tarde,Sim,Não,379.31,5,975.0,9,40.58,77.6,47,1.0
Boleto,SP,Mobile,Tarde,Sim,Não,516.72,7,1712.0,5,16.0,66.9,48,0.0
Pix,MG,Mobile,Tarde,Sim,Não,14.77,5,1494.0,7,23.76,40.0,50,0.0
Cartão,MG,Mobile,Manhã,Sim,Não,301.83,4,1399.0,3,52.92,41.8,43,0.0
Cartão,GO,Mobile,Noite,Não,Não,217.55,6,1168.0,7,17.14,61.4,67,0.0
Pix,SP,Mobile,Tarde,Não,Não,502.0,4,737.0,4,35.7,42.9,33,1.0
Cartão,SP,Mobile,Tarde,Sim,Não,744.99,7,856.0,7,9.33,23.4,68,0.0
Pix,SP,,Madrugada,Não,Não,168.02,7,1684.0,5,40.25,36.8,43,0.0
Cartão,PE,,Madrugada,Sim,Não,156.63,3,926.0,6,8.2,52.1,67,0.0
Cartão,MG,Mobile,Tarde,Sim,Não,171.66,3,1185.0,5,49.95,51.4,61,0.0
Boleto,PE,,Tarde,Não,Não,1216.07,3,601.0,6,8.45,13.8,48,1.0
Cartão,SP,Desktop,Tarde,Não,Sim,444.44,1,1198.0,3,22.47,38.0,78,1.0
Cartão,SP,Mobile,Noite,Sim,Não,118.25,4,,8,12.44,28.8,48,0.0
Pix,PE,Mobile,Noite,Não,Não,663.01,4,248.0,6,4.98,74.3,52,0.0
Boleto,BA,,Manhã,Não,Não,529.69,6,761.0,7,43.89,46.5,21,0.0
Cartão,RJ,Mobile,Noite,Não,Não,566.45,7,676.0,3,54.63,54.8,54,1.0
Cartão,PR,Mobile,Tarde,Não,Não,24.57,6,,6,2.77,29.8,25,0.0
Boleto,PR,Desktop,Noite,Sim,Não,156.96,4,1630.0,3,28.69,59.1,23,0.0
Cartão,RS,Mobile,Noite,Não,Não,,3,720.0,2,28.03,,33,0.0
Boleto,BA,Mobile,Manhã,Sim,Não,223.08,1,552.0,6,5.25,43.2,33,0.0
Pix,PE,Mobile,Manhã,Sim,Não,503.27,2,250.0,3,16.01,22.8,66,0.0
Cartão,SP,Mobile,Tarde,Não,Não,579.03,2,1743.0,3,6.04,51.8,61,0.0
Cartão,RJ,Mobile,Manhã,Não,Não,222.64,3,1051.0,5,5.37,0.0,31,0.0
Cartão,BA,Mobile,Manhã,Sim,Não,372.63,3,1266.0,9,39.46,100.0,63,0.0
Pix,RJ,Mobile,Madrugada,Sim,Não,273.61,6,1453.0,5,18.2,63.2,23,0.0
Cartão,MG,Mobile,Noite,Não,Sim,685.93,4,74.0,8,39.37,39.2,78,1.0
Pix,RJ,Mobile,Manhã,Não,Não,,5,1432.0,4,56.69,70.5,35,1.0
Cartão,BA,Mobile,Noite,Não,Sim,93.08,7,1055.0,4,23.05,58.2,71,1.0
Cartão,PE,,Noite,Não,Não,555.52,7,1126.0,7,7.14,31.9,71,0.0
Cartão,RS,Mobile,Noite,Não,Não,433.81,3,275.0,6,27.76,,49,1.0
Cartão,PR,Mobile,Tarde,Não,Não,195.28,3,824.0,2,25.68,16.5,60,0.0
Cartão,PE,Mobile,Tarde,Não,Não,173.64,2,255.0,3,8.14,40.1,61,0.0
Cartão,MG,Mobile,Manhã,Não,Não,179.93,6,1345.0,6,36.56,34.5,50,0.0
Cartão,RJ,Desktop,Noite,Não,Não,,3,1410.0,5,8.47,36.5,49,0.0
Cartão,PR,Mobile,Manhã,Não,Não,706.82,7,551.0,10,9.6,28.9,32,0.0
Cartão,GO,Desktop,Madrugada,Não,Não,774.38,5,1932.0,5,3.18,49.7,53,0.0
Pix,RJ,Mobile,Manhã,Não,Não,158.88,7,926.0,2,22.96,33.5,43,0.0
,RS,Mobile,Manhã,Não,Não,475.42,4,-30.0,2,24.16,24.3,48,0.0
,RJ,Desktop,Noite,Não,Não,348.78,5,653.0,9,25.42,52.6,20,0.0
,SP,Mobile,Manhã,Sim,Não,300.06,1,985.0,7,36.82,49.7,57,0.0
Cartão,PR,Mobile,Manhã,Não,Sim,192.13,7,1249.0,7,24.17,14.6,53,0.0
Cartão,RS,Desktop,Madrugada,Sim,Sim,325.77,3,1369.0,5,1.76,44.3,45,0.0
Pix,PE,Desktop,Noite,Sim,Não,99.38,3,786.0,12,19.26,57.9,75,0.0
Cartão,MG,Desktop,Noite,Não,Não,80.8,5,72.0,5,9.38,22.9,47,0.0
Pix,GO,Mobile,Tarde,Sim,Não,,6,1888.0,1,51.37,42.0,56,0.0
Cartão,MG,Mobile,Tarde,Não,Não,422.74,1,1292.0,7,22.3,16.8,52,0.0
Cartão,MG,,Manhã,Não,Não,758.65,7,1911.0,7,19.48,,43,0.0
Cartão,RJ,Desktop,Tarde,Não,Não,147.75,4,1974.0,10,24.48,69.5,24,0.0
Boleto,RS,Mobile,Noite,Sim,Não,421.11,5,950.0,8,44.52,27.5,19,0.0
Cartão,PR,Mobile,Manhã,Sim,Não,134.84,6,1747.0,6,1.74,56.5,46,0.0
Cartão,MG,Desktop,Noite,Sim,Não,425.89,2,1493.0,7,29.41,39.2,62,0.0
Boleto,RS,Desktop,Madrugada,Sim,Não,374.38,1,1324.0,9,26.39,44.2,64,0.0
Pix,GO,Desktop,Manhã,Sim,Não,395.9,4,1858.0,3,32.55,66.6,70,0.0
Cartão,MG,Mobile,Noite,Não,Não,122.69,1,821.0,5,23.53,65.0,38,1.0
,PE,Mobile,Tarde,Sim,Não,14.06,7,1007.0,7,0.31,35.6,21,0.0
Cartão,RS,Desktop,Noite,Não,Não,481.3,2,1984.0,5,9.39,27.5,53,0.0
Cartão,GO,Desktop,Madrugada,Não,Não,,1,572.0,8,26.36,64.6,31,1.0
Pix,RJ,Mobile,Tarde,Não,Não,910.16,5,203.0,9,19.04,32.5,23,0.0
Pix,GO,Mobile,Noite,Não,Não,715.83,5,435.0,4,22.05,81.4,67,1.0
Cartão,BA,Mobile,Noite,Não,Não,609.21,1,601.0,6,18.48,84.8,36,1.0
Pix,RS,Mobile,Tarde,Não,Não,1124.3,3,1665.0,5,19.78,50.1,78,0.0
Pix,MG,,Noite,Não,Não,552.46,7,1251.0,4,47.03,32.5,27,1.0
Boleto,PR,Mobile,Tarde,Não,Não,130.83,1,481.0,6,36.86,0.0,24,0.0
Cartão,MG,Mobile,Noite,Não,Não,421.74,7,,9,24.74,35.6,79,0.0
Cartão,RJ,Mobile,Manhã,Não,Não,90.85,5,1627.0,8,23.41,15.3,76,0.0
Cartão,BA,Mobile,Manhã,Não,Não,324.33,4,1685.0,8,11.49,41.1,43,0.0
Cartão,BA,Mobile,Noite,Sim,Não,511.71,1,718.0,11,58.47,59.2,62,1.0
Cartão,PE,Desktop,Tarde,Sim,Sim,254.36,2,1847.0,7,2.72,44.6,49,0.0
Cartão,PR,Mobile,Tarde,Sim,Não,167.57,2,1008.0,10,18.57,,70,0.0
Cartão,RS,Desktop,Manhã,Não,Não,365.63,4,1923.0,8,8.15,34.8,69,0.0
Cartão,BA,Desktop,Tarde,Sim,Não,574.39,4,1087.0,4,28.92,22.8,33,1.0
Cartão,RS,Mobile,Manhã,Sim,Não,611.41,4,105.0,4,39.9,69.1,42,1.0
Cartão,MG,Mobile,Madrugada,Não,Não,893.75,7,575.0,9,18.92,26.1,41,0.0
Cartão,GO,Mobile,Manhã,Sim,Não,344.68,4,541.0,6,46.82,15.7,58,0.0
Cartão,GO,Mobile,Noite,Sim,Não,130.24,1,273.0,4,4.71,50.0,41,0.0
Cartão,GO,Mobile,Manhã,Não,Não,108.97,4,1722.0,8,19.83,25.2,62,0.0
Cartão,RS,Mobile,Manhã,Não,Não,513.91,4,1137.0,3,14.76,50.7,19,0.0
Cartão,SP,Mobile,Tarde,Não,Sim,821.99,3,1412.0,6,59.58,52.7,21,0.0
Pix,GO,Desktop,Tarde,Sim,Não,230.37,2,1260.0,3,8.41,56.4,68,0.0
Cartão,RJ,Mobile,Noite,Não,Não,256.5,7,574.0,7,73.9,36.8,43,0.0
Cartão,MG,Desktop,Tarde,Não,Não,728.08,1,366.0,10,17.87,42.2,27,0.0
Boleto,RS,Mobile,Manhã,Não,Não,516.38,7,462.0,4,24.1,31.0,50,0.0
Cartão,MG,Desktop,Tarde,Não,Não,159.7,5,1486.0,7,29.86,60.4,53,1.0
Cartão,RJ,Mobile,Manhã,Sim,Sim,495.03,6,368.0,5,38.99,,33,1.0
Pix,RJ,Mobile,Manhã,Não,Não,142.68,6,1465.0,3,40.59,13.0,56,0.0
Boleto,MG,Mobile,Noite,Não,Não,190.34,3,1609.0,8,19.03,36.8,38,0.0
Cartão,BA,Mobile,Noite,Não,Não,49.53,3,834.0,8,48.39,46.9,22,0.0
,PR,Mobile,Noite,Sim,Não,185.9,5,,5,2.43,34.6,62,0.0
Cartão,MG,Mobile,Madrugada,Não,Não,564.56,7,1285.0,7,4.12,32.6,65,0.0
Boleto,SP,Mobile,Tarde,Não,Não,424.33,3,402.0,3,11.96,54.1,23,0.0
Cartão,MG,Desktop,Tarde,Sim,Não,309.78,1,939.0,6,10.67,58.0,43,0.0
Cartão,RS,,Manhã,Não,Não,131.41,2,736.0,6,23.14,13.1,36,0.0
Cartão,GO,Desktop,Noite,Sim,Não,446.02,7,1449.0,9,34.17,69.5,67,0.0
Cartão,GO,Mobile,Manhã,Não,Não,121.19,4,393.0,3,14.95,32.4,78,0.0
Boleto,SP,,Tarde,Não,Não,196.32,3,1132.0,4,3.02,46.5,60,0.0
Cartão,PE,Mobile,Tarde,Sim,Não,263.37,6,452.0,7,36.53,53.1,32,0.0
Boleto,MG,Mobile,Noite,Não,Não,1073.3,1,451.0,7,31.96,60.5,40,1.0
Cartão,PE,,Manhã,Sim,Não,321.22,3,1765.0,9,0.25,29.3,74,0.0
Pix,MG,Mobile,Manhã,Não,Não,640.0,1,1045.0,6,18.06,46.2,58,0.0
Cartão,SP,Mobile,Noite,Não,Não,374.83,3,1063.0,4,40.29,,36,0.0
Cartão,PR,Desktop,Manhã,Sim,Não,778.87,1,1656.0,6,25.93,35.7,61,0.0
Pix,SP,Desktop,Noite,Sim,Não,716.77,4,1966.0,7,20.14,50.8,31,0.0
Cartão,PR,Mobile,Manhã,Não,Não,223.25,7,734.0,7,34.9,26.7,66,0.0
Cartão,PE,Mobile,Noite,Não,Não,455.06,1,1253.0,5,19.84,56.1,35,1.0
Cartão,PR,Mobile,Noite,Não,Não,205.03,5,344.0,5,32.79,36.0,73,0.0
Cartão,SP,Mobile,Noite,Não,Não,460.45,7,1217.0,10,11.91,43.3,38,0.0
Pix,,Desktop,Tarde,Não,Sim,844.79,3,1680.0,1,0.53,43.3,42,0.0
Cartão,RJ,Desktop,Madrugada,Não,Não,541.85,4,156.0,7,67.4,30.2,20,1.0
Cartão,SP,Desktop,Manhã,Não,Não,434.91,7,1630.0,2,44.53,48.8,34,1.0
Cartão,RJ,Mobile,Tarde,Não,Não,214.05,7,1785.0,4,25.42,96.9,32,1.0
Cartão,RS,Mobile,Madrugada,Sim,Não,,6,1235.0,10,10.65,74.0,76,1.0
Cartão,RS,Desktop,Madrugada,Não,Sim,480.77,3,1111.0,4,54.88,31.9,31,1.0
Cartão,RS,Mobile,Manhã,Sim,Não,522.37,1,1698.0,8,83.75,0.0,52,0.0
Cartão,GO,Desktop,Manhã,Não,Não,77.0,3,1637.0,4,0.15,5.4,53,0.0
Cartão,PE,Mobile,Noite,Sim,Não,227.75,7,1431.0,4,19.67,,32,0.0
Cartão,RS,Mobile,Madrugada,Sim,Não,383.83,6,252.0,2,11.73,30.0,39,1.0
Cartão,PE,Mobile,Noite,Sim,Não,436.29,2,1771.0,9,21.77,34.4,66,0.0
Cartão,MG,Desktop,Manhã,Não,Não,518.76,6,656.0,6,77.31,29.5,30,0.0
Cartão,RJ,Mobile,Manhã,Não,Não,133.79,1,297.0,5,6.47,0.0,33,0.0
Cartão,PE,Mobile,Manhã,Sim,Não,505.74,6,96.0,5,15.72,38.7,34,1.0
Cartão,BA,Mobile,Tarde,Não,Não,630.37,6,1232.0,9,18.94,65.1,76,0.0
,MG,Mobile,Madrugada,Sim,Não,274.03,7,547.0,4,43.09,76.6,34,1.0
Cartão,PE,Desktop,Madrugada,Não,Não,202.67,1,1883.0,6,7.57,54.5,23,0.0
Cartão,MG,Desktop,Madrugada,Sim,Não,690.97,3,1219.0,10,4.37,41.6,54,1.0
Cartão,RJ,Desktop,Tarde,Sim,Não,364.48,4,1855.0,4,19.85,18.4,45,0.0
Boleto,RJ,Mobile,Manhã,Sim,Não,248.11,5,660.0,6,7.6,,41,0.0
Cartão,BA,Mobile,Tarde,Não,Não,442.75,4,987.0,7,25.03,4.2,25,0.0
Cartão,MG,Desktop,Noite,Não,Não,77.32,5,1912.0,7,52.25,26.1,41,0.0
Cartão,RJ,Desktop,Manhã,Sim,Sim,268.69,6,1346.0,11,54.51,18.0,21,0.0
Cartão,SP,,Madrugada,Sim,Não,677.0,7,77.0,4,37.84,54.7,49,1.0
Cartão,PR,Mobile,Tarde,Não,Não,307.27,2,134.0,7,23.78,56.7,69,0.0
Pix,RS,Mobile,Manhã,Sim,Sim,82.91,5,1102.0,8,32.22,27.9,20,0.0
Cartão,PR,Desktop,Manhã,Não,Não,442.03,4,1880.0,9,29.87,41.1,55,0.0
Cartão,GO,Tablet,Tarde,Não,Não,420.19,5,1883.0,6,22.02,64.9,75,0.0
Cartão,RJ,Desktop,Tarde,Não,Não,236.36,5,1929.0,3,28.63,26.6,41,0.0
Cartão,PE,Desktop,Manhã,Sim,Não,738.59,2,1586.0,7,16.56,29.4,44,0.0
Pix,BA,Mobile,Noite,Sim,Não,915.29,5,1623.0,5,13.91,67.8,40,0.0
